"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","1620","본인 작성 댓글 내용 수정 및 반영 확인","tests","2026-09-08","passed","2026-09-08","","test_comment","",""
"","187","이름 미입력 시 에러 메시지 노출 확인","tests","2026-09-08","passed","2026-09-08","","test_signup","",""
"","219","아이디 미입력 시 에러 메시지 노출 확인","tests","2026-09-08","passed","2026-09-08","","test_signup","",""
"","512","아이디 및 비밀번호 미입력 시 에러 메시지 노출 확인","tests","2026-09-08","passed","2026-09-08","","test_login","",""
"","522","비밀번호 찾기 페이지 UI 확인","tests","2026-09-08","passed","2026-09-08","","test_find_pw","",""
"","975","일치 정보 입력 시 아이디 찾기 성공 및 노출 확인","tests","2026-09-08","passed","2026-09-08","","test_find_id","",""
"","666","미등록 사용자 정보 입력 시 실패 메시지 확인","tests","2026-09-08","passed","2026-09-08","","test_find_id","",""
"","179","이메일 @ 미포함 형식 입력 시 에러 메시지 노출 확인","tests","2026-09-08","passed","2026-09-08","","test_signup","",""
"","210","비밀번호 미입력 시 에러 메시지 노출 확인","tests","2026-09-08","passed","2026-09-08","","test_signup","",""
"","563","비밀번호 미입력 시 에러 메시지 노출 확인","tests","2026-09-08","passed","2026-09-08","","test_login","",""
